project,location,inc_date,core,type,Season,n2o_flux,ch4_flux,co2_flux,sed_den,sed_por,sed_om,temp,salin,nh4_start,nox_start
NEOY,RWU,7/28/18,30,bare,,0.00,0.00,521.91,1.97,0.52,1.21,27.33,30.50,9.88,0.27
NEOY,RWU,7/28/18,33,bare,,-15.20,0.00,995.07,1.97,0.52,1.21,27.38,30.55,2.42,0.74
NEOY,RWU,7/28/18,40,bare,,0.00,543.00,586.27,1.97,0.52,1.21,27.38,30.55,2.67,0.17
NEOY,RWU,7/28/18,9,oyster,,0.00,136.00,620.25,1.63,0.37,1.08,27.40,30.45,9.90,0.27
NEOY,RWU,7/28/18,16,oyster,,0.00,269.00,636.49,1.63,0.37,1.08,27.28,30.50,11.00,0.26
NEOY,RWU,7/28/18,31,oyster,,0.00,0.00,365.45,1.63,0.37,1.08,27.30,30.50,1.49,0.22
NEOY,RWU,9/21/18,14,bare,,0.00,304.00,1208.03,1.80,0.45,1.06,19.85,29.25,3.54,8.00
NEOY,RWU,9/21/18,34,bare,,0.00,0.00,1569.95,1.80,0.45,1.06,19.95,29.25,4.77,8.13
NEOY,RWU,9/21/18,35,bare,,0.00,232.00,1295.39,1.80,0.45,1.06,19.85,29.25,5.02,8.03
NEOY,RWU,9/21/18,3,oyster,,0.00,152.00,1567.11,1.83,0.45,1.56,19.95,29.25,5.15,8.23
NEOY,RWU,9/21/18,50,oyster,,-72.80,-298.00,1429.19,1.83,0.45,1.56,20.40,29.30,4.84,8.22
NEOY,RWU,9/21/18,75,oyster,,0.00,0.00,994.93,1.83,0.45,1.56,19.90,29.30,4.13,8.41
NEOY,Saltbox,8/4/18,13,bare,,0.00,944.00,1373.22,1.37,0.27,1.36,26.60,31.15,5.41,0.75
NEOY,Saltbox,8/4/18,17,bare,,60.20,297.00,1138.25,1.37,0.27,1.36,26.53,31.15,6.26,0.79
NEOY,Saltbox,8/4/18,31,bare,,-103.00,0.00,2087.33,1.37,0.27,1.36,26.60,31.15,5.55,1.00
NEOY,Saltbox,8/4/18,9,oyster,,0.00,1031.00,1253.30,1.88,0.86,5.09,26.70,31.00,7.08,0.73
NEOY,Saltbox,8/4/18,30,oyster,,0.00,2864.00,1995.25,1.88,0.86,5.09,26.58,31.15,8.90,0.68
NEOY,Saltbox,8/4/18,40,oyster,,-38.50,313.00,1275.07,1.88,0.86,5.09,26.58,31.20,7.51,0.74
NEOY,Saltbox,9/28/18,9,bare,,176.70,4580.00,4744.99,1.64,0.54,2.01,22.08,30.60,3.70,3.74
NEOY,Saltbox,9/28/18,21,bare,,125.80,1915.00,2942.82,1.64,0.54,2.01,21.98,30.55,8.25,3.74
NEOY,Saltbox,9/28/18,31,bare,,72.60,0.00,1348.89,1.64,0.54,2.01,21.95,30.45,3.57,3.98
NEOY,Saltbox,9/28/18,16,oyster,,109.00,1308.00,4343.00,1.11,0.68,6.58,22.03,30.45,11.27,3.34
NEOY,Saltbox,9/28/18,17,oyster,,5.20,-115.00,2171.69,1.11,0.68,6.58,22.08,30.45,4.36,3.82
NEOY,Saltbox,9/28/18,19,oyster,,151.60,1745.00,4389.75,1.11,0.68,6.58,22.03,30.50,11.84,3.61
